date,account_value
2022-02-03,1352393.1372975165
2022-02-04,1355328.6326741034
2022-02-07,1351798.22167862
2022-02-08,1364744.4637440497
2022-02-09,1378499.6314381415
2022-02-10,1349631.8114613348
2022-02-11,1324968.1553791815
2022-02-14,1321964.9929188543
2022-02-15,1347209.1671131903
2022-02-16,1344309.8309468084
2022-02-17,1320516.6881703192
2022-02-18,1313857.8749989325
2022-02-22,1291705.8738850409
2022-02-23,1265066.4845417792
2022-02-24,1285193.4827565008
2022-02-25,1307947.919020539
2022-02-28,1310386.9207142645
2022-03-01,1299765.0473164374
2022-03-02,1324748.592696076
2022-03-03,1318140.0080250555
2022-03-04,1305465.9459828192
2022-03-07,1276823.3334492499
2022-03-08,1266410.6176899725
2022-03-09,1300182.687468415
2022-03-10,1279549.2129658514
2022-03-11,1261910.6641529852
2022-03-14,1235737.6582478338
2022-03-15,1259207.2136067206
2022-03-16,1289482.9867695624
2022-03-17,1301419.5755146795
2022-03-18,1324668.783888703
2022-03-21,1326059.2299031073
2022-03-22,1346175.4487751776
2022-03-23,1342312.3171376043
2022-03-24,1362668.268980866
2022-03-25,1367339.8397206122
2022-03-28,1374013.245482331
2022-03-29,1396348.875975495
2022-03-30,1387442.1196888739
2022-03-31,1365374.8712300116
2022-04-01,1366306.6700123602
2022-04-04,1388604.8394154364
2022-04-05,1366589.8921345526
2022-04-06,1345677.59957779
2022-04-07,1351613.9952992254
2022-04-08,1342228.433852082
2022-04-11,1313400.3306721502
2022-04-12,1320795.3690480047
2022-04-13,1338598.0029438788
2022-04-14,1311057.8313587958
2022-04-18,1308943.9753102118
2022-04-19,1327096.756758576
2022-04-20,1327676.746916657
2022-04-21,1310097.6822804266
2022-04-22,1274263.128065949
2022-04-25,1281543.6615895086
2022-04-26,1243595.6772755438
2022-04-27,1243060.2273701483
2022-04-28,1294879.6145771795
2022-04-29,1249758.694472199
2022-05-02,1256594.4384907538
2022-05-03,1263448.8083790594
2022-05-04,1310034.305662995
2022-05-05,1248569.2000721747
2022-05-06,1251694.0561817938
2022-05-09,1212884.9894856268
2022-05-10,1225866.537794953
2022-05-11,1184848.7829731756
2022-05-12,1168415.4461048895
2022-05-13,1200721.2094258124
2022-05-16,1194956.4830159002
2022-05-17,1215505.7465504461
2022-05-18,1155810.1381825262
2022-05-19,1124378.5847615057
2022-05-20,1133717.5412892157
2022-05-23,1164390.4930256659
2022-05-24,1155046.3031910711
2022-05-25,1160856.822218781
2022-05-26,1184626.7726277167
2022-05-27,1218217.693037873
